sensor number,x,y,side
199,62.792,-90.88,R
200,55.3104,-90.88,R
201,47.6952,-90.88,R
202,40.2136,-90.88,R
203,32.732,-90.88,R
204,25.2504,-90.88,R
205,107.6816,-105.92,R
206,100.2,-105.92,R
207,92.7184,-105.92,R
208,85.2368,-105.92,R
209,77.7552,-105.92,R
210,70.2736,-105.92,R
211,62.792,-105.92,R
212,55.3104,-105.92,R
213,47.6952,-105.92,R
214,40.2136,-105.92,R
215,32.732,-105.92,R
216,25.2504,-105.92,R
217,107.6816,-120.96,R
218,100.2,-120.96,R
219,92.7184,-120.96,R
220,85.2368,-120.96,R
221,77.7552,-120.96,R
222,70.2736,-120.96,R
223,62.792,-120.96,R
224,55.3104,-120.96,R
225,47.6952,-120.96,R
226,40.2136,-120.96,R
227,32.732,-120.96,R
228,25.2504,-120.96,R
229,107.6816,-135.68,R
230,100.2,-135.68,R
231,92.7184,-135.68,R
232,85.2368,-135.68,R
233,77.7552,-135.68,R
234,70.2736,-135.68,R
235,62.792,-135.68,R
236,55.3104,-135.68,R
237,47.6952,-135.68,R
238,40.2136,-135.68,R
239,32.732,-135.68,R
240,25.2504,-135.68,R
