Sensor nummer,29,30,31,32,33,34,40,41,42,43,44,45,46,47,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,103,104,105,106,107,110,111,112,113,114,115,116,117,118,119,122,123,124,125,126,127,128,129,130,131,135,136,137,138,139,140,141,142,143,147,148,149,150,151,152,153,154,155,159,160,161,162,163,164,165,166,167,171,172,173,174,175,176,177,178,179,183,184,185,186,187,188,189,190,191,195,196,197,198,199,200,201,202,208,209,210,211,212,213,214,221,222,223,224,225
0.060,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.57771,14.01369,10.4477,10.76051,10.00978,0,1.626588,10.38514,13.88856,14.76442,15.82796,14.01369,17.07918,16.32845,13.38807,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.816227,4.692082,10.1349,10.38514,5.880743,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.5738,5.755621,0,4.629521,13.01271,8.758554,12.26197,11.38612,8.508309,0,2.439883,5.192571,6.005865,0.688172,0
0.070,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.64027,14.01369,10.38514,10.76051,9.947214,0,1.68915,10.38514,13.826,14.76442,15.7654,14.07625,17.07918,16.32845,13.38807,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.259042,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.565982,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.19746,10.38514,5.880743,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.5738,5.755621,0,4.629521,13.01271,8.758554,12.26197,11.38612,8.445747,0,2.439883,5.192571,6.005865,0.688172,0
0.080,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.316716,12.95015,16.95406,13.20039,15.57771,14.01369,10.4477,10.82307,10.1349,0,1.68915,10.38514,13.88856,14.76442,15.7654,14.07625,17.07918,16.51613,13.38807,12.57478,2.940372,4.066471,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.947214,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.13001,6.443793,4.629521,0,0,0,0,2.439883,3.816227,4.629521,10.19746,10.38514,5.880743,0,0,0,2.001955,7.006843,7.194526,15.57771,13.5132,11.63636,5.755621,0,4.629521,13.01271,8.883676,12.26197,11.38612,8.508309,0,2.439883,5.192571,6.068426,0.6256109,0
0.090,0.1251222,2.377322,5.004888,1.313783,5.255132,6.068426,0,0.8132942,0,0,0,4.56696,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.316716,13.01271,16.95406,13.20039,15.57771,14.01369,10.4477,10.76051,10.00978,0,1.626588,10.38514,13.88856,14.76442,15.82796,14.07625,17.07918,16.45357,13.38807,12.57478,2.87781,4.066471,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.947214,6.381232,0,0.5004888,4.191593,3.628544,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.1349,10.38514,5.880743,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.63636,5.755621,0,4.629521,13.01271,8.758554,12.32454,11.38612,8.508309,0,2.439883,5.192571,6.068426,0.688172,0
0.100,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.57771,14.01369,10.4477,10.82307,10.1349,0,1.68915,10.38514,13.826,14.70186,15.82796,14.01369,17.07918,16.51613,13.38807,12.63734,2.940372,4.00391,6.631476,6.756598,11.19844,9.196481,8.070381,4.817204,10.32258,9.947214,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.315738,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.19746,10.38514,5.880743,0,0,0,2.001955,7.006843,7.194526,15.51515,13.5132,11.63636,5.818182,0,4.629521,13.01271,8.821115,12.32454,11.38612,8.445747,0,2.439883,5.192571,6.068426,0.688172,0
0.110,0.1251222,2.377322,5.004888,1.313783,5.255132,6.068426,0,0.8132942,0,0,0,4.56696,10.38514,11.44868,0,0.06256109,2.502444,5.630498,4.942327,1.626588,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.64027,14.01369,10.4477,10.82307,10.1349,0,1.626588,10.38514,13.95112,14.76442,15.89052,14.07625,17.07918,16.51613,13.38807,12.57478,2.940372,4.00391,6.631476,6.756598,11.19844,9.196481,8.070381,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.692082,10.19746,10.38514,5.880743,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.63636,5.818182,0,4.629521,13.01271,8.821115,12.32454,11.32356,8.508309,0,2.377322,5.13001,6.068426,0.6256109,0
0.120,0.1251222,2.377322,5.004888,1.313783,5.255132,6.068426,0,0.8132942,0,0,0,4.629521,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.626588,0,0,0,0,4.316716,12.95015,16.95406,13.20039,15.57771,14.01369,10.4477,10.76051,10.07234,0,1.68915,10.38514,13.95112,14.76442,15.82796,14.07625,17.07918,16.51613,13.38807,12.63734,2.940372,4.066471,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.315738,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.19746,10.38514,5.880743,0,0,0,2.001955,7.006843,7.194526,15.57771,13.5132,11.63636,5.755621,0,4.629521,13.01271,8.883676,12.26197,11.32356,8.508309,0,2.439883,5.13001,6.068426,0.688172,0
0.130,0.1251222,2.377322,5.004888,1.251222,5.255132,6.068426,0,0.8132942,0,0,0,4.56696,10.38514,11.38612,0,0.06256109,2.502444,5.630498,5.004888,1.626588,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.64027,14.01369,10.38514,10.76051,10.00978,0,1.68915,10.38514,14.01369,14.70186,15.82796,14.07625,17.07918,16.32845,13.38807,12.57478,2.940372,4.066471,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.629521,0,0,0,0,2.439883,3.878788,4.629521,10.1349,10.38514,5.880743,0,0,0,2.001955,7.006843,7.194526,15.64027,13.63832,11.51124,5.818182,0,4.629521,13.01271,8.821115,12.32454,11.32356,8.445747,0,2.439883,5.13001,6.068426,0.688172,0
0.140,0.1251222,2.377322,5.004888,1.313783,5.255132,6.068426,0,0.8132942,0,0,0,4.629521,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.626588,0,0,0,0,4.316716,13.01271,16.95406,13.20039,15.64027,14.01369,10.4477,10.76051,10.07234,0,1.626588,10.38514,14.01369,14.76442,15.82796,14.07625,17.07918,16.39101,13.45063,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.1349,10.38514,5.880743,0,0,0,2.001955,7.006843,7.194526,15.57771,13.57576,11.5738,5.818182,0,4.629521,13.01271,8.758554,12.32454,11.38612,8.445747,0,2.439883,5.13001,6.005865,0.6256109,0
0.150,0.1251222,2.377322,5.004888,1.313783,5.255132,6.068426,0,0.8132942,0,0,0,4.629521,10.38514,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.626588,0,0,0,0,4.316716,13.01271,16.95406,13.20039,15.57771,14.01369,10.4477,10.76051,10.1349,0,1.626588,10.38514,14.01369,14.70186,15.82796,14.07625,17.07918,16.51613,13.38807,12.51222,3.002933,4.066471,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.13001,6.443793,4.629521,0,0,0,0,2.439883,3.878788,4.629521,10.1349,10.38514,5.880743,0,0,0,2.001955,6.944282,7.194526,15.57771,13.63832,11.63636,5.818182,0,4.629521,13.01271,8.883676,12.26197,11.38612,8.508309,0,2.377322,5.13001,6.068426,0.688172,0
